Operación tradicional:
n: 1k
1.588135 ms.	1.550049 ms.	1.549805 ms.	1.585938 ms.	1.447998 ms.	1.576904 ms.	1.490967 ms.	1.458008 ms.	1.372070 ms.	1.258057 ms.	1.352783 ms.	1.342041 ms.	 
1.312012 ms.	1.250977 ms.	1.318848 ms.	1.232178 ms.	1.483887 ms.	1.568848 ms.	1.007080 ms.	1.217041 ms.	1.349121 ms.	1.266113 ms.	1.202881 ms.	0.888916 ms.	 
1.326904 ms.	1.324219 ms.	1.227783 ms.	1.064941 ms.	1.269043 ms.	1.567139 ms.	1.306152 ms.	1.491943 ms.	1.036865 ms.	1.018066 ms.	1.260986 ms.	1.023926 ms.	 
1.199951 ms.	1.166992 ms.	1.197021 ms.	1.596191 ms.	0.989990 ms.	1.614990 ms.	1.523193 ms.	1.090088 ms.	1.208008 ms.	1.307861 ms.	1.099121 ms.	1.372803 ms.	 
1.475830 ms.	1.444092 ms.	1.508057 ms.	1.302979 ms.	1.009033 ms.	1.468994 ms.	1.090820 ms.	1.583984 ms.	1.062012 ms.	1.264160 ms.	0.921875 ms.	1.187988 ms.	 
1.353027 ms.	1.148193 ms.	1.563965 ms.	1.562012 ms.	1.529053 ms.	1.592773 ms.	1.147217 ms.	1.451172 ms.	1.381104 ms.	1.255859 ms.	1.025146 ms.	1.175049 ms.	 
1.117188 ms.	1.503906 ms.	1.564941 ms.	1.228027 ms.	1.432861 ms.	1.134033 ms.	1.562012 ms.	1.101074 ms.	1.357910 ms.	1.072021 ms.	1.328125 ms.	1.322998 ms.	 
1.251953 ms.	1.103027 ms.	0.973145 ms.	1.247803 ms.	1.498047 ms.	1.155029 ms.	1.476807 ms.	1.010986 ms.	1.052002 ms.	1.250977 ms.	1.302002 ms.	1.032959 ms.	 
1.367920 ms.	1.121826 ms.	1.414062 ms.	1.112061 ms.	1.060059 ms.	1.387207 ms.	0.900879 ms.	1.391113 ms.	1.177979 ms.	1.114014 ms.	1.416992 ms.	1.444092 ms.	 
1.291016 ms.	1.264893 ms.	1.283936 ms.	1.022217 ms.	0.982178 ms.	0.991211 ms.	1.000000 ms.	0.937012 ms.	1.045166 ms.	1.006836 ms.	1.341064 ms.	1.096924 ms.	 
1.361084 ms.	1.332031 ms.	1.404053 ms.	1.180908 ms.	1.043213 ms.	1.166992 ms.	1.089844 ms.	1.406006 ms.	1.418945 ms.	1.105957 ms.	1.066162 ms.	1.085938 ms.	 
