Operación en paralelo:
dataset: barabasi
3069.798096 ms.	1761.911133 ms.	2398.587891 ms.	2404.104004 ms.	2322.942871 ms.	2369.671143 ms.	1770.071045 ms.	1782.093994 ms.	1773.850098 ms.	1777.005859 ms.	2376.749023 ms.	1787.732910 ms.	 
1759.468018 ms.	1919.500977 ms.	2037.467041 ms.	2036.518066 ms.	1728.004883 ms.	1859.080078 ms.	1493.712891 ms.	1500.020996 ms.	1501.104004 ms.	1498.509033 ms.	1970.720947 ms.	1506.278076 ms.	 
2362.705078 ms.	2025.989014 ms.	4253.253906 ms.	3027.574951 ms.	2335.240967 ms.	2516.001953 ms.	2299.886963 ms.	2328.053955 ms.	2280.290039 ms.	2302.907959 ms.	2643.204834 ms.	2330.406006 ms.	 
2371.025879 ms.	2033.626953 ms.	3053.782959 ms.	4303.502930 ms.	2339.367188 ms.	2513.916016 ms.	2310.182861 ms.	2299.813965 ms.	2331.052002 ms.	2287.760010 ms.	2623.915039 ms.	2306.364014 ms.	 
2322.074219 ms.	1721.778076 ms.	2328.763916 ms.	2337.031982 ms.	2989.189941 ms.	2320.725098 ms.	1730.476074 ms.	1740.333984 ms.	1733.753174 ms.	1735.856934 ms.	2322.232178 ms.	1744.162842 ms.	 
2375.518066 ms.	1860.903076 ms.	2497.628174 ms.	2519.555908 ms.	2308.113037 ms.	3211.972900 ms.	1865.975098 ms.	1882.312012 ms.	1872.749023 ms.	1878.183838 ms.	2492.996094 ms.	1885.611084 ms.	 
1773.567139 ms.	1479.873047 ms.	2297.019043 ms.	2307.241943 ms.	1718.064941 ms.	1868.408936 ms.	2249.809814 ms.	1709.788086 ms.	1696.523193 ms.	1694.938965 ms.	1969.988770 ms.	1707.202881 ms.	 
1769.516846 ms.	1492.822998 ms.	2318.208008 ms.	2329.618896 ms.	1729.830078 ms.	1868.288086 ms.	1709.186035 ms.	2577.114014 ms.	1723.050049 ms.	1719.379883 ms.	1977.302002 ms.	1740.052002 ms.	 
1767.153076 ms.	1489.186035 ms.	2321.791016 ms.	2329.405029 ms.	1728.643066 ms.	1860.210938 ms.	1688.322998 ms.	1724.014160 ms.	2455.485107 ms.	1708.624023 ms.	1973.687988 ms.	1719.387207 ms.	 
1765.895996 ms.	1493.470947 ms.	2278.347168 ms.	2342.509033 ms.	1724.132812 ms.	1864.207031 ms.	1693.549072 ms.	1719.901123 ms.	1715.648193 ms.	2443.451172 ms.	1975.791016 ms.	1727.147949 ms.	 
2360.354004 ms.	1976.530029 ms.	2659.412842 ms.	2658.975098 ms.	2332.348877 ms.	2496.732910 ms.	1984.192871 ms.	1991.787109 ms.	1985.826904 ms.	1982.200928 ms.	3398.656982 ms.	2000.023926 ms.	 
1777.196045 ms.	1496.253906 ms.	2331.403076 ms.	2343.351807 ms.	1729.640869 ms.	1875.437012 ms.	1708.120850 ms.	1735.688965 ms.	1724.837891 ms.	1734.240967 ms.	1982.442871 ms.	2665.508057 ms.	 
 
dataset: random
2816.246094 ms.	1087.058838 ms.	1570.514893 ms.	1611.355957 ms.	1361.708008 ms.	1417.461914 ms.	1123.599121 ms.	1257.248047 ms.	1200.536865 ms.	1199.457031 ms.	1443.169922 ms.	1262.754150 ms.	 
1068.268066 ms.	1633.650879 ms.	1228.453857 ms.	1248.227783 ms.	1068.897949 ms.	1091.229980 ms.	870.229980 ms.	973.992920 ms.	922.443115 ms.	932.292969 ms.	1108.974121 ms.	981.631104 ms.	 
1579.060059 ms.	1231.530029 ms.	3736.977051 ms.	1827.442871 ms.	1550.910889 ms.	1617.453857 ms.	1278.974854 ms.	1414.619873 ms.	1376.410889 ms.	1370.876953 ms.	1650.540039 ms.	1444.610107 ms.	 
1605.513916 ms.	1258.221191 ms.	1830.204102 ms.	3972.083984 ms.	1596.330811 ms.	1655.671875 ms.	1317.722900 ms.	1467.959961 ms.	1411.714111 ms.	1410.373047 ms.	1695.050049 ms.	1484.378174 ms.	 
1363.226807 ms.	1061.995850 ms.	1550.494141 ms.	1594.551025 ms.	2832.078125 ms.	1399.974121 ms.	1123.907959 ms.	1245.364990 ms.	1186.672119 ms.	1180.600830 ms.	1430.692871 ms.	1254.486084 ms.	 
1405.529053 ms.	1105.968994 ms.	1600.185059 ms.	1629.851074 ms.	1409.245850 ms.	3033.951904 ms.	1148.802002 ms.	1295.316895 ms.	1227.092041 ms.	1221.877930 ms.	1475.213135 ms.	1293.047852 ms.	 
1115.782959 ms.	871.549072 ms.	1276.114990 ms.	1304.359131 ms.	1107.582031 ms.	1146.604004 ms.	1880.732910 ms.	1016.922119 ms.	976.110107 ms.	978.015869 ms.	1172.706055 ms.	1032.006104 ms.	 
1239.105957 ms.	978.286133 ms.	1420.847168 ms.	1453.096924 ms.	1245.255127 ms.	1274.508057 ms.	1021.906006 ms.	2388.027100 ms.	1098.007080 ms.	1088.722900 ms.	1317.619873 ms.	1140.208984 ms.	 
1199.404053 ms.	936.215088 ms.	1371.406006 ms.	1394.837891 ms.	1198.579102 ms.	1230.702881 ms.	976.242920 ms.	1081.281982 ms.	2048.807129 ms.	1031.300049 ms.	1256.031982 ms.	1100.892090 ms.	 
1213.498047 ms.	928.794922 ms.	1353.562988 ms.	1403.505127 ms.	1182.414062 ms.	1226.865967 ms.	982.212158 ms.	1089.651123 ms.	1048.134033 ms.	2179.479980 ms.	1252.257080 ms.	1093.716064 ms.	 
1440.164062 ms.	1136.799805 ms.	1629.026123 ms.	1685.087891 ms.	1426.813965 ms.	1472.238037 ms.	1175.248779 ms.	1313.302979 ms.	1260.649902 ms.	1260.017090 ms.	3174.295898 ms.	1341.554199 ms.	 
1290.444092 ms.	988.811035 ms.	1448.710938 ms.	1472.280029 ms.	1261.450928 ms.	1293.793945 ms.	1033.776123 ms.	1150.265869 ms.	1115.596924 ms.	1104.162109 ms.	1316.070801 ms.	2444.797852 ms.	 
 
dataset: smallworld
1418.484131 ms.	695.569092 ms.	1054.639893 ms.	1069.715820 ms.	929.488037 ms.	945.093018 ms.	777.377930 ms.	892.646973 ms.	873.941895 ms.	873.775879 ms.	958.581055 ms.	893.203125 ms.	 
703.058838 ms.	875.697021 ms.	871.254150 ms.	879.862061 ms.	706.132080 ms.	712.551025 ms.	689.080811 ms.	697.301025 ms.	698.930908 ms.	708.798096 ms.	713.106934 ms.	704.739014 ms.	 
1060.147949 ms.	862.191162 ms.	1996.267090 ms.	1335.239990 ms.	1058.360107 ms.	1067.115967 ms.	947.560059 ms.	1059.447998 ms.	1048.479004 ms.	1048.280029 ms.	1062.935059 ms.	1051.234131 ms.	 
1076.887939 ms.	866.578857 ms.	1338.686035 ms.	2057.044922 ms.	1075.362061 ms.	1076.656006 ms.	962.140869 ms.	1064.545166 ms.	1058.516113 ms.	1063.127930 ms.	1081.492920 ms.	1065.227051 ms.	 
930.913086 ms.	697.650879 ms.	1055.638916 ms.	1077.132080 ms.	1377.489990 ms.	952.371826 ms.	771.941895 ms.	889.520020 ms.	875.741943 ms.	868.476807 ms.	935.531006 ms.	893.306885 ms.	 
947.758057 ms.	700.182129 ms.	1062.976074 ms.	1081.259033 ms.	940.730957 ms.	1550.458008 ms.	774.838867 ms.	898.995850 ms.	876.075928 ms.	878.040039 ms.	962.641113 ms.	899.282959 ms.	 
783.822998 ms.	688.672119 ms.	956.844971 ms.	960.724121 ms.	784.721924 ms.	793.931885 ms.	1013.566162 ms.	776.535889 ms.	775.284912 ms.	775.530029 ms.	787.940918 ms.	782.439941 ms.	 
887.791016 ms.	692.354004 ms.	1050.043945 ms.	1059.038086 ms.	887.989014 ms.	899.522217 ms.	769.211914 ms.	1333.611816 ms.	864.488037 ms.	860.399170 ms.	902.846924 ms.	880.706055 ms.	 
873.261963 ms.	689.113037 ms.	1040.749023 ms.	1062.313965 ms.	873.535889 ms.	876.057129 ms.	767.357910 ms.	858.642090 ms.	1259.883057 ms.	854.682861 ms.	887.906006 ms.	861.425049 ms.	 
864.522949 ms.	690.759033 ms.	1046.518799 ms.	1054.940918 ms.	874.570068 ms.	880.243896 ms.	767.991211 ms.	861.020020 ms.	858.504883 ms.	1267.372070 ms.	879.129150 ms.	863.628174 ms.	 
949.758057 ms.	698.729004 ms.	1066.867920 ms.	1073.019043 ms.	941.951904 ms.	966.218994 ms.	778.351074 ms.	901.510986 ms.	877.002930 ms.	877.233887 ms.	1602.598145 ms.	903.879150 ms.	 
893.538086 ms.	694.182129 ms.	1054.020996 ms.	1057.277100 ms.	901.260986 ms.	900.528076 ms.	767.550049 ms.	883.854004 ms.	860.840088 ms.	860.611816 ms.	899.792969 ms.	1350.732178 ms.	 
 
dataset: snaps
480.342041 ms.	261.935059 ms.	354.288086 ms.	319.377930 ms.	169.984131 ms.	205.882812 ms.	153.864014 ms.	152.140869 ms.	159.425781 ms.	128.336914 ms.	158.291992 ms.	112.403076 ms.	 
260.931885 ms.	288.518066 ms.	287.778076 ms.	206.143066 ms.	138.485107 ms.	144.954102 ms.	118.192871 ms.	120.876953 ms.	111.493164 ms.	116.916992 ms.	112.637939 ms.	70.802979 ms.	 
353.044189 ms.	284.853027 ms.	572.527832 ms.	294.984131 ms.	181.260986 ms.	252.241943 ms.	165.777832 ms.	165.770996 ms.	165.455078 ms.	150.534912 ms.	133.592041 ms.	82.021973 ms.	 
320.465820 ms.	208.639893 ms.	293.772949 ms.	752.568115 ms.	353.792969 ms.	276.699951 ms.	202.530029 ms.	199.434814 ms.	190.247070 ms.	170.175049 ms.	198.665039 ms.	153.102051 ms.	 
172.170898 ms.	142.429932 ms.	182.336914 ms.	360.817871 ms.	528.124023 ms.	265.052979 ms.	208.223145 ms.	201.987061 ms.	188.850098 ms.	178.420898 ms.	176.754883 ms.	137.096924 ms.	 
207.255127 ms.	142.513916 ms.	250.859863 ms.	278.999023 ms.	261.679932 ms.	447.817871 ms.	226.754883 ms.	207.359863 ms.	209.408203 ms.	179.954102 ms.	180.040039 ms.	138.891113 ms.	 
151.710938 ms.	120.776123 ms.	165.636963 ms.	206.579102 ms.	207.522949 ms.	227.437012 ms.	255.241211 ms.	211.611084 ms.	192.968018 ms.	177.423096 ms.	176.236084 ms.	139.613037 ms.	 
155.153076 ms.	118.679932 ms.	164.437012 ms.	196.349854 ms.	205.550049 ms.	208.361084 ms.	216.380859 ms.	297.499023 ms.	214.175049 ms.	189.956787 ms.	184.933105 ms.	146.840088 ms.	 
159.602051 ms.	111.064209 ms.	162.988037 ms.	190.330078 ms.	187.278809 ms.	208.588867 ms.	189.970947 ms.	206.127930 ms.	274.983887 ms.	198.438965 ms.	188.666992 ms.	157.752930 ms.	 
127.409180 ms.	114.758789 ms.	153.005859 ms.	171.028076 ms.	173.389893 ms.	175.677979 ms.	181.878906 ms.	193.997803 ms.	194.165039 ms.	301.744141 ms.	226.263184 ms.	145.385986 ms.	 
159.455078 ms.	111.421143 ms.	132.291016 ms.	199.263916 ms.	177.508057 ms.	176.558105 ms.	181.239990 ms.	185.739990 ms.	190.093018 ms.	225.792969 ms.	385.496094 ms.	252.472900 ms.	 
110.568848 ms.	72.383057 ms.	83.371094 ms.	150.027100 ms.	137.505859 ms.	140.297119 ms.	136.887207 ms.	147.325928 ms.	158.488037 ms.	145.506104 ms.	255.031006 ms.	318.979004 ms.	 
 
